Subject,Start Date
White T-Shirts,01/01/12
Favorite Kind of Day,01/02/12
Milk Painting,01/03/12
Chalk Painting,01/04/12
Digging for Treasure,01/05/12
Coffee Filter Art,01/06/12
Corn Syrup Painting,01/07/12
Bread Painting,01/08/12
Create a Town,01/09/12
Magic Goo,01/10/12
Golf Ball Painting,01/11/12
Mask-making,01/12/12
Clay,01/13/12
Water Balloons,01/14/12
Stained Glass,01/15/12
Large Cutout Shape Puzzle,01/16/12
Spray Painting,01/17/12
Create your own Placemat,01/18/12
Cupcakes,01/19/12
Tissue Paper Puzzle,01/20/12
Milk/Cookies,01/21/12
Bird's Nest Drawing,01/22/12
Paper Plates,01/23/12
Obstacle Course,01/24/12
White Mud,01/25/12
Music Making,01/26/12
Tacos,01/27/12
Make Lemonade,01/28/12
Tasty Paint,01/29/12
Make a Card,01/30/12
Desert Island,01/31/12
Make a Card,02/01/12
Drawing Round Robin,02/02/12
Cupcakes,02/03/12
Milk/Cookies,02/04/12
Leaf Collage,02/05/12
Tissue Paper Collage,02/06/12
Name Plates,02/07/12
Milk Painting,02/08/12
Mask-making,02/09/12
Mosaics,02/10/12
Create your own Placemat,02/11/12
Animal Most Like/Least Like,02/12/12
Ornaments,02/13/12
Collage,02/14/12
Wash the Cars,02/15/12
Mandala,02/16/12
Road Work,02/17/12
Group Puzzle,02/18/12
Pearler Beads,02/19/12
Body Trace,02/20/12
Tacos,02/21/12
Snowflakes,02/22/12
Tissue Paper Puzzle,02/23/12
Puffy Paint Painting,02/24/12
Coloring,02/25/12
Unwrapping Presents,02/26/12
Self-stick paper collage,02/27/12
Bridge,02/28/12
Picture Frames,02/29/12
Desert Island,03/01/12
Wash the Cars,03/02/12
Corn Syrup Painting,03/03/12
Coloring Sand,03/04/12
Foot/Hand Prints,03/05/12
Cling Wrap Painting,03/06/12
Bird's Nest Drawing,03/07/12
Magic Goo,03/08/12
Animal Most Like/Least Like,03/09/12
Mural,03/10/12
Mask-making,03/11/12
Shadow Tracing/Painting,03/12/12
Jewelry Making,03/13/12
Pudding Painting,03/14/12
Modeling dough,03/15/12
Corn Cob Painting,03/16/12
Scratchboards,03/17/12
Make Kites,03/18/12
Milk Painting,03/19/12
Golf Ball Painting,03/20/12
Make a Card,03/21/12
Tissue Paper Puzzle,03/22/12
Chalk Painting,03/23/12
Picture Frames,03/24/12
Treasure Hunt,03/25/12
Altered Books,03/26/12
Stamps,03/27/12
Book Cover about Yourself,03/28/12
Mandala,03/29/12
Snowflakes,03/30/12
Tissue Paper Collage,03/31/12
Mural,04/01/12
Tissue Paper Collage,04/02/12
Scratchboards,04/03/12
Rice Krispy Treats,04/04/12
Altered Books,04/05/12
Mosaics,04/06/12
Desert Island,04/07/12
Treasure Hunt,04/08/12
Picture Frames,04/09/12
Book Cover about Yourself,04/10/12
Jewelry Making,04/11/12
Paper Mache,04/12/12
Self-stick paper collage,04/13/12
Bread Painting,04/14/12
White Mud,04/15/12
Collage,04/16/12
Tasty Paint,04/17/12
Tie Dye,04/18/12
Large Cutout Shape Puzzle,04/19/12
Road Work,04/20/12
Obstacle Course,04/21/12
Wash the Cars,04/22/12
Picture Frames,04/23/12
Dream House,04/24/12
Water Balloons,04/25/12
Make Kites,04/26/12
Shaving Cream Painting,04/27/12
Hershey's Chocolate,04/28/12
Leaf Paintings,04/29/12
Torn Paper Collage,04/30/12
Stained Glass,05/01/12
Altered Books,05/02/12
Paint a Rainbow,05/03/12
Handprint Turkey,05/04/12
Bird's Nest Drawing,05/05/12
Foot/Hand Prints,05/06/12
Paper Plates,05/07/12
Magic Goo,05/08/12
Picture Frames,05/09/12
Make a Wreath,05/10/12
Ornaments,05/11/12
Group Puzzle,05/12/12
Coloring,05/13/12
Make Kites,05/14/12
Marble Painting,05/15/12
Bagel Faces,05/16/12
Cupcakes,05/17/12
Bridge,05/18/12
Salt Art,05/19/12
Hershey's Chocolate,05/20/12
Spray Painting,05/21/12
Tie Dye,05/22/12
Scratchboards,05/23/12
Large Cutout Shape Puzzle,05/24/12
Egg Painting,05/25/12
Corn Syrup Painting,05/26/12
Farm Animals,05/27/12
Clay,05/28/12
White Mud,05/29/12
Cling Wrap Painting,05/30/12
Mosaics,05/31/12
Large Cutout Shape Puzzle,06/01/12
Bagel Faces,06/02/12
Jewelry Making,06/03/12
Collage,06/04/12
Paper Plates,06/05/12
Spray Painting,06/06/12
Gelatin Rainbow,06/07/12
Tissue Paper Collage,06/08/12
CD Cover,06/09/12
Create a Town,06/10/12
Salt Art,06/11/12
Paint a Rainbow,06/12/12
Tasty Paint,06/13/12
Grow a garden,06/14/12
Make Lemonade,06/15/12
Music Making,06/16/12
Cooking,06/17/12
Picture Frames,06/18/12
Foot/Hand Prints,06/19/12
Book Cover about Yourself,06/20/12
Shapes Treasure Hunt,06/21/12
Bird's Nest Drawing,06/22/12
Kool-Aid Painting,06/23/12
Mask-making,06/24/12
Shield,06/25/12
Sea Animals,06/26/12
Self-stick paper collage,06/27/12
Pizza,06/28/12
Golf Ball Painting,06/29/12
Bridge,06/30/12
White T-Shirts,07/01/12
Door Drawing,07/02/12
Pearler Beads,07/03/12
Body Trace,07/04/12
Hershey's Chocolate,07/05/12
Tasty Paint,07/06/12
Road Work,07/07/12
Create Animal Environment,07/08/12
Make Lemonade,07/09/12
Animal Most Like/Least Like,07/10/12
Milk Painting,07/11/12
Mandala,07/12/12
Group Puzzle,07/13/12
Board Games,07/14/12
Tissue Paper Puzzle,07/15/12
Marble Painting,07/16/12
Rice Krispy Treats,07/17/12
Corn Cob Painting,07/18/12
Corn Syrup Painting,07/19/12
Butterflies,07/20/12
Shaving Cream Painting,07/21/12
White Mud,07/22/12
Shapes Treasure Hunt,07/23/12
Modeling dough,07/24/12
Stained Glass,07/25/12
Paper Mache,07/26/12
Teddy Bear Picnic,07/27/12
Music Making,07/28/12
Decorate a pumpkin,07/29/12
Bagel Faces,07/30/12
Gelatin Rainbow,07/31/12
Group Puzzle,08/01/12
Digging for Treasure,08/02/12
White Mud,08/03/12
Magic Goo,08/04/12
Create your own Placemat,08/05/12
Handprint Turkeys,08/06/12
Ornaments,08/07/12
Leaf Collage,08/08/12
Grow a garden,08/09/12
Kool-Aid Painting,08/10/12
Mask-making,08/11/12
Coloring,08/12/12
Paper Plates,08/13/12
Tissue Paper Puzzle,08/14/12
Mural,08/15/12
Decorate a pumpkin,08/16/12
Picture Frames,08/17/12
Scratchboards,08/18/12
Tissue Paper Collage,08/19/12
Holiday Art,08/20/12
Road Work,08/21/12
Make a Wreath,08/22/12
Cling Wrap Painting,08/23/12
Teddy Bear Picnic,08/24/12
Paint a Rainbow,08/25/12
Tie Dye,08/26/12
CD Cover,08/27/12
Farm Animals,08/28/12
Marble Painting,08/29/12
Large Cutout Shape Puzzle,08/30/12
White T-Shirts,08/31/12
Unwrapping Presents,09/01/12
Cupcakes,09/02/12
Pizza,09/03/12
Spray Painting,09/04/12
Golf Ball Painting,09/05/12
Coloring,09/06/12
Mask-making,09/07/12
Milk/Cookies,09/08/12
Large Cutout Shape Puzzle,09/09/12
Snowflakes,09/10/12
Create a Town,09/11/12
Stamps,09/12/12
Create Animal Environment,09/13/12
Shapes Treasure Hunt,09/14/12
Milk Painting,09/15/12
