Subject,Start Date
Golf Ball Painting,01/01/12
Tissue Paper Puzzle,01/02/12
Hershey's Chocolate,01/03/12
Handprint Turkey,01/04/12
Kool-Aid Painting,01/05/12
Jewelry Making,01/06/12
Ornaments,01/07/12
Scratchboards,01/08/12
Wash the Cars,01/09/12
Corn Cob Painting,01/10/12
Door Drawing,01/11/12
Mask-making,01/12/12
Animal Most Like/Least Like,01/13/12
Picture Frames,01/14/12
Confetti Collage,01/15/12
Water Balloons,01/16/12
Torn Paper Collage,01/17/12
Gelatin Rainbow,01/18/12
Magic Goo,01/19/12
Foot/Hand Prints,01/20/12
Make a Wreath,01/21/12
Favorite Kind of Day,01/22/12
Decorate a pumpkin,01/23/12
Tissue Paper Collage,01/24/12
Milk/Cookies,01/25/12
Cling Wrap Painting,01/26/12
White T-Shirts,01/27/12
Coloring Sand,01/28/12
Snowflakes,01/29/12
Stained Glass,01/30/12
Pudding Painting,01/31/12
Coloring Sand,02/01/12
Tie Dye,02/02/12
Clay,02/03/12
Animal Most Like/Least Like,02/04/12
Picture Frames,02/05/12
Unwrapping Presents,02/06/12
Kool-Aid Painting,02/07/12
Grow a garden,02/08/12
Sea Animals,02/09/12
Mural,02/10/12
Bread Painting,02/11/12
Tissue Paper Puzzle,02/12/12
Stained Glass,02/13/12
Stamps,02/14/12
Treasure Hunt,02/15/12
Coloring,02/16/12
Group Puzzle,02/17/12
Paper Plates,02/18/12
Dream House,02/19/12
Rice Krispy Treats,02/20/12
Mask-making,02/21/12
Confetti Collage,02/22/12
Puffy Paint Painting,02/23/12
Music Making,02/24/12
Snowflakes,02/25/12
Book Cover about Yourself,02/26/12
Pizza,02/27/12
Cupcakes,02/28/12
Self-stick paper collage,02/29/12
Snowflakes,03/01/12
Self-stick paper collage,03/02/12
Holiday Art,03/03/12
Finger Paint,03/04/12
Book Cover about Yourself,03/05/12
Board Games,03/06/12
Puffy Paint Painting,03/07/12
Digging for Treasure,03/08/12
Create Animal Environment,03/09/12
Large Cutout Shape Puzzle,03/10/12
Tie Dye,03/11/12
Popsicles,03/12/12
Torn Paper Collage,03/13/12
Butterflies,03/14/12
Make Lemonade,03/15/12
Marble Painting,03/16/12
Modeling dough,03/17/12
Cling Wrap Painting,03/18/12
Hershey's Chocolate,03/19/12
Chalk Painting,03/20/12
Make Kites,03/21/12
Pizza,03/22/12
Grow a garden,03/23/12
Ornaments,03/24/12
Magic Goo,03/25/12
Handprint Turkeys,03/26/12
Tissue Paper Collage,03/27/12
Paper Mache,03/28/12
Paper Plates,03/29/12
Desert Island,03/30/12
Cupcakes,03/31/12
Holiday Art,04/01/12
Wash the Cars,04/02/12
Ornaments,04/03/12
Mosaics,04/04/12
Bridge,04/05/12
Road Work,04/06/12
Salt Art,04/07/12
Kool-Aid Painting,04/08/12
Tasty Paint,04/09/12
Foot/Hand Prints,04/10/12
Shaving Cream Painting,04/11/12
Corn Syrup Painting,04/12/12
Bread Painting,04/13/12
Golf Ball Painting,04/14/12
Tie Dye,04/15/12
Grow a garden,04/16/12
Paper Mache,04/17/12
Tissue Paper Collage,04/18/12
Water Balloons,04/19/12
Clay,04/20/12
Shadow Tracing/Painting,04/21/12
Large Cutout Shape Puzzle,04/22/12
Bird's Nest Drawing,04/23/12
Cooking,04/24/12
Music Making,04/25/12
Stained Glass,04/26/12
Board Games,04/27/12
Mandala,04/28/12
Gelatin Rainbow,04/29/12
Create a Town,04/30/12
Farm Animals,05/01/12
Create your own Placemat,05/02/12
Milk Painting,05/03/12
Group Puzzle,05/04/12
Marble Painting,05/05/12
Create a Town,05/06/12
Mask-making,05/07/12
Coloring Sand,05/08/12
Confetti Collage,05/09/12
Teddy Bear Picnic,05/10/12
Make a Wreath,05/11/12
Tie Dye,05/12/12
Chalk Painting,05/13/12
Treasure Hunt,05/14/12
Cupcakes,05/15/12
Corn Syrup Painting,05/16/12
White Mud,05/17/12
