Subject,Start Date
Milk Painting,01/01/12
Picture Frames,01/02/12
Popsicles,01/03/12
Cooking,01/04/12
Make a Wreath,01/05/12
Desert Island,01/06/12
Pizza,01/07/12
Obstacle Course,01/08/12
Shaving Cream Painting,01/09/12
Puffy Paint Painting,01/10/12
Ornaments,01/11/12
Pearler Beads,01/12/12
Create a Town,01/13/12
Book Cover about Yourself,01/14/12
Tacos,01/15/12
Confetti Collage,01/16/12
Holiday Art,01/17/12
Digging for Treasure,01/18/12
Road Work,01/19/12
Group Puzzle,01/20/12
Cling Wrap Painting,01/21/12
Torn Paper Collage,01/22/12
Door Drawing,01/23/12
Cupcakes,01/24/12
Corn Syrup Painting,01/25/12
Paint a Rainbow,01/26/12
Bagel Faces,01/27/12
White Mud,01/28/12
Farm Animals,01/29/12
Handprint Turkey,01/30/12
Drawing Round Robin,01/31/12
Paper Plates,02/01/12
Marble Painting,02/02/12
Mosaics,02/03/12
Cupcakes,02/04/12
Pearler Beads,02/05/12
Butterflies,02/06/12
Group Puzzle,02/07/12
Door Drawing,02/08/12
Coloring Sand,02/09/12
Collage,02/10/12
Milk Painting,02/11/12
Jewelry Making,02/12/12
Torn Paper Collage,02/13/12
Self-stick paper collage,02/14/12
Bagel Faces,02/15/12
Golf Ball Painting,02/16/12
Mandala,02/17/12
Tissue Paper Puzzle,02/18/12
Cooking,02/19/12
Animal Most Like/Least Like,02/20/12
Holiday Art,02/21/12
Farm Animals,02/22/12
Paint a Rainbow,02/23/12
Pudding Painting,02/24/12
Handprint Turkeys,02/25/12
Favorite Kind of Day,02/26/12
Gelatin Rainbow,02/27/12
Tacos,02/28/12
Treasure Hunt,02/29/12
Mosaics,03/01/12
Shaving Cream Painting,03/02/12
Treasure Hunt,03/03/12
Bridge,03/04/12
Marble Painting,03/05/12
Puffy Paint Painting,03/06/12
Group Puzzle,03/07/12
Bread Painting,03/08/12
Cupcakes,03/09/12
Create your own Placemat,03/10/12
Ornaments,03/11/12
Kool-Aid Painting,03/12/12
Altered Books,03/13/12
Egg Painting,03/14/12
Shield,03/15/12
