Subject,Start Date
Create a Town,01/01/12
Paper Plates,01/02/12
Shapes Treasure Hunt,01/03/12
Stamps,01/04/12
Bagel Faces,01/05/12
Picture Frames,01/06/12
Magic Goo,01/07/12
Music Making,01/08/12
Self-stick paper collage,01/09/12
Make Kites,01/10/12
Leaf Paintings,01/11/12
Popsicles,01/12/12
Mask-making,01/13/12
Shadow Tracing/Painting,01/14/12
Tissue Paper Puzzle,01/15/12
Obstacle Course,01/16/12
Gelatin Rainbow,01/17/12
Cling Wrap Painting,01/18/12
Corn Cob Painting,01/19/12
Shield,01/20/12
Animal Most Like/Least Like,01/21/12
Egg Painting,01/22/12
Grow a garden,01/23/12
Door Drawing,01/24/12
Modeling dough,01/25/12
Large Cutout Shape Puzzle,01/26/12
Confetti Collage,01/27/12
White T-Shirts,01/28/12
Mural,01/29/12
Bird's Nest Drawing,01/30/12
Treasure Hunt,01/31/12
Cooking,02/01/12
Road Work,02/02/12
Pizza,02/03/12
Magic Goo,02/04/12
Foot/Hand Prints,02/05/12
Finger Paint,02/06/12
Dream House,02/07/12
Music Making,02/08/12
Clay,02/09/12
Snowflakes,02/10/12
Handprint Turkeys,02/11/12
Corn Cob Painting,02/12/12
Tissue Paper Puzzle,02/13/12
Mosaics,02/14/12
Favorite Kind of Day,02/15/12
Make a Card,02/16/12
Farm Animals,02/17/12
Animal Most Like/Least Like,02/18/12
Tie Dye,02/19/12
Group Puzzle,02/20/12
Make Lemonade,02/21/12
Picture Frames,02/22/12
Cling Wrap Painting,02/23/12
Jewelry Making,02/24/12
Make a Wreath,02/25/12
Stamps,02/26/12
Bird's Nest Drawing,02/27/12
Decorate a pumpkin,02/28/12
Self-stick paper collage,02/29/12
Mosaics,03/01/12
Mask-making,03/02/12
Coloring,03/03/12
Collage,03/04/12
Mandala,03/05/12
Bird's Nest Drawing,03/06/12
Torn Paper Collage,03/07/12
Shaving Cream Painting,03/08/12
Paint a Rainbow,03/09/12
Bagel Faces,03/10/12
Unwrapping Presents,03/11/12
Milk Painting,03/12/12
Milk/Cookies,03/13/12
Coloring Sand,03/14/12
Scratchboards,03/15/12
Grow a garden,03/16/12
Animal Most Like/Least Like,03/17/12
Make a Card,03/18/12
Snowflakes,03/19/12
Foot/Hand Prints,03/20/12
Tacos,03/21/12
Kool-Aid Painting,03/22/12
Music Making,03/23/12
Marble Painting,03/24/12
Water Balloons,03/25/12
