Subject,Start Date
Shadow Tracing/Painting,01/01/12
Puffy Paint Painting,01/02/12
Milk Painting,01/03/12
Chalk Painting,01/04/12
Bread Painting,01/05/12
Desert Island,01/06/12
Shapes Treasure Hunt,01/07/12
Confetti Collage,01/08/12
Tissue Paper Collage,01/09/12
Gelatin Rainbow,01/10/12
Mandala,01/11/12
Ornaments,01/12/12
Leaf Collage,01/13/12
Clay,01/14/12
Collage,01/15/12
Kool-Aid Painting,01/16/12
Picture Frames,01/17/12
Treasure Hunt,01/18/12
Spray Painting,01/19/12
Salt Art,01/20/12
Digging for Treasure,01/21/12
Sea Animals,01/22/12
Unwrapping Presents,01/23/12
Make Kites,01/24/12
Create your own Placemat,01/25/12
Pizza,01/26/12
Stamps,01/27/12
Egg Painting,01/28/12
Make Lemonade,01/29/12
Make a Card,01/30/12
Water Balloons,01/31/12
Jewelry Making,02/01/12
Make a Wreath,02/02/12
Make Kites,02/03/12
Tissue Paper Collage,02/04/12
Create Animal Environment,02/05/12
Sea Animals,02/06/12
Stamps,02/07/12
Name Plates,02/08/12
Shield,02/09/12
Tasty Paint,02/10/12
Paper Plates,02/11/12
Hershey's Chocolate,02/12/12
Magic Goo,02/13/12
Mandala,02/14/12
Create your own Placemat,02/15/12
Cooking,02/16/12
Dream House,02/17/12
Puffy Paint Painting,02/18/12
Torn Paper Collage,02/19/12
Animal Most Like/Least Like,02/20/12
Picture Frames,02/21/12
Self-stick paper collage,02/22/12
Bird's Nest Drawing,02/23/12
Corn Cob Painting,02/24/12
Mosaics,02/25/12
Scratchboards,02/26/12
Confetti Collage,02/27/12
Digging for Treasure,02/28/12
Kool-Aid Painting,02/29/12
Hershey's Chocolate,03/01/12
Coffee Filter Art,03/02/12
Finger Paint,03/03/12
Create a Town,03/04/12
Rice Krispy Treats,03/05/12
Coloring,03/06/12
Farm Animals,03/07/12
Mandala,03/08/12
Pearler Beads,03/09/12
Animal Most Like/Least Like,03/10/12
Large Cutout Shape Puzzle,03/11/12
Self-stick paper collage,03/12/12
Spray Painting,03/13/12
Confetti Collage,03/14/12
Water Balloons,03/15/12
Collage,03/16/12
Golf Ball Painting,03/17/12
Leaf Collage,03/18/12
Stained Glass,03/19/12
Foot/Hand Prints,03/20/12
Mask-making,03/21/12
Unwrapping Presents,03/22/12
Coloring Sand,03/23/12
Name Plates,03/24/12
Paper Plates,03/25/12
Salt Art,03/26/12
Pizza,03/27/12
Road Work,03/28/12
Handprint Turkey,03/29/12
White Mud,03/30/12
Milk/Cookies,03/31/12
Body Trace,04/01/12
Collage,04/02/12
Mural,04/03/12
Paper Mache,04/04/12
Finger Paint,04/05/12
Bread Painting,04/06/12
Magic Goo,04/07/12
Milk/Cookies,04/08/12
Board Games,04/09/12
Shield,04/10/12
Create your own Placemat,04/11/12
Cupcakes,04/12/12
Shadow Tracing/Painting,04/13/12
Paper Plates,04/14/12
Farm Animals,04/15/12
Drawing Round Robin,04/16/12
Tie Dye,04/17/12
Confetti Collage,04/18/12
Bridge,04/19/12
Mask-making,04/20/12
Marble Painting,04/21/12
Egg Painting,04/22/12
Animal Most Like/Least Like,04/23/12
Stamps,04/24/12
Create Animal Environment,04/25/12
Sea Animals,04/26/12
Paint a Rainbow,04/27/12
Self-stick paper collage,04/28/12
Tissue Paper Collage,04/29/12
Shapes Treasure Hunt,04/30/12
Popsicles,05/01/12
Create a Town,05/02/12
Make a Card,05/03/12
Cling Wrap Painting,05/04/12
Stamps,05/05/12
Water Balloons,05/06/12
Paint a Rainbow,05/07/12
Road Work,05/08/12
Mandala,05/09/12
Picture Frames,05/10/12
Make Kites,05/11/12
Tie Dye,05/12/12
Bridge,05/13/12
Leaf Paintings,05/14/12
Corn Syrup Painting,05/15/12
Handprint Turkeys,05/16/12
Sea Animals,05/17/12
Shield,05/18/12
Animal Most Like/Least Like,05/19/12
Door Drawing,05/20/12
Collage,05/21/12
Milk/Cookies,05/22/12
Shaving Cream Painting,05/23/12
Pizza,05/24/12
Clay,05/25/12
Coloring Sand,05/26/12
Name Plates,05/27/12
Grow a garden,05/28/12
Torn Paper Collage,05/29/12
Self-stick paper collage,05/30/12
Paper Mache,05/31/12
Torn Paper Collage,06/01/12
Make Lemonade,06/02/12
Shadow Tracing/Painting,06/03/12
Scratchboards,06/04/12
Farm Animals,06/05/12
Ornaments,06/06/12
Corn Cob Painting,06/07/12
Paper Plates,06/08/12
Holiday Art,06/09/12
Jewelry Making,06/10/12
Coffee Filter Art,06/11/12
Coloring,06/12/12
Tie Dye,06/13/12
Favorite Kind of Day,06/14/12
Altered Books,06/15/12
Hershey's Chocolate,06/16/12
Shapes Treasure Hunt,06/17/12
Name Plates,06/18/12
Gelatin Rainbow,06/19/12
Animal Most Like/Least Like,06/20/12
Desert Island,06/21/12
Mandala,06/22/12
Corn Syrup Painting,06/23/12
Bagel Faces,06/24/12
Water Balloons,06/25/12
Tasty Paint,06/26/12
Book Cover about Yourself,06/27/12
Cling Wrap Painting,06/28/12
Chalk Painting,06/29/12
Shaving Cream Painting,06/30/12
Self-stick paper collage,07/01/12
Digging for Treasure,07/02/12
Animal Most Like/Least Like,07/03/12
Stamps,07/04/12
Picture Frames,07/05/12
Tasty Paint,07/06/12
Water Balloons,07/07/12
Mandala,07/08/12
Chalk Painting,07/09/12
Puffy Paint Painting,07/10/12
Handprint Turkey,07/11/12
Bagel Faces,07/12/12
Shadow Tracing/Painting,07/13/12
Popsicles,07/14/12
Door Drawing,07/15/12
Music Making,07/16/12
Book Cover about Yourself,07/17/12
Favorite Kind of Day,07/18/12
Bird's Nest Drawing,07/19/12
Paper Plates,07/20/12
Body Trace,07/21/12
Wash the Cars,07/22/12
CD Cover,07/23/12
Collage,07/24/12
Decorate a pumpkin,07/25/12
Bread Painting,07/26/12
Bridge,07/27/12
Ornaments,07/28/12
Shaving Cream Painting,07/29/12
Rice Krispy Treats,07/30/12
Desert Island,07/31/12
White Mud,08/01/12
Unwrapping Presents,08/02/12
Body Trace,08/03/12
Ornaments,08/04/12
Road Work,08/05/12
Paper Mache,08/06/12
Pearler Beads,08/07/12
Scratchboards,08/08/12
Mask-making,08/09/12
Bridge,08/10/12
Paper Plates,08/11/12
CD Cover,08/12/12
Coloring Sand,08/13/12
Confetti Collage,08/14/12
Mosaics,08/15/12
Egg Painting,08/16/12
Drawing Round Robin,08/17/12
Popsicles,08/18/12
Bread Painting,08/19/12
Modeling dough,08/20/12
Coloring,08/21/12
Animal Most Like/Least Like,08/22/12
Obstacle Course,08/23/12
Cooking,08/24/12
Tie Dye,08/25/12
White T-Shirts,08/26/12
Puffy Paint Painting,08/27/12
Pudding Painting,08/28/12
Handprint Turkeys,08/29/12
Leaf Collage,08/30/12
Coffee Filter Art,08/31/12
Snowflakes,09/01/12
Decorate a pumpkin,09/02/12
Body Trace,09/03/12
Tacos,09/04/12
Tissue Paper Puzzle,09/05/12
Picture Frames,09/06/12
Shield,09/07/12
Mask-making,09/08/12
Modeling dough,09/09/12
Handprint Turkeys,09/10/12
Popsicles,09/11/12
Torn Paper Collage,09/12/12
Marble Painting,09/13/12
Corn Cob Painting,09/14/12
Create Animal Environment,09/15/12
Music Making,09/16/12
Coloring,09/17/12
Treasure Hunt,09/18/12
Pudding Painting,09/19/12
Puffy Paint Painting,09/20/12
Picture Frames,09/21/12
Group Puzzle,09/22/12
CD Cover,09/23/12
Paper Plates,09/24/12
Unwrapping Presents,09/25/12
Bridge,09/26/12
Egg Painting,09/27/12
Altered Books,09/28/12
Stained Glass,09/29/12
Clay,09/30/12
Coloring,10/01/12
Obstacle Course,10/02/12
Finger Paint,10/03/12
Stained Glass,10/04/12
Make Kites,10/05/12
Digging for Treasure,10/06/12
Modeling dough,10/07/12
Stamps,10/08/12
Milk Painting,10/09/12
Dream House,10/10/12
Leaf Collage,10/11/12
Desert Island,10/12/12
Favorite Kind of Day,10/13/12
Unwrapping Presents,10/14/12
Shaving Cream Painting,10/15/12
Shapes Treasure Hunt,10/16/12
Milk/Cookies,10/17/12
Jewelry Making,10/18/12
Paper Plates,10/19/12
Mandala,10/20/12
Self-stick paper collage,10/21/12
Door Drawing,10/22/12
Egg Painting,10/23/12
Music Making,10/24/12
Teddy Bear Picnic,10/25/12
Snowflakes,10/26/12
Body Trace,10/27/12
Bird's Nest Drawing,10/28/12
Picture Frames,10/29/12
Coloring Sand,10/30/12
Gelatin Rainbow,10/31/12
Wash the Cars,11/01/12
Coloring Sand,11/02/12
Jewelry Making,11/03/12
Name Plates,11/04/12
Door Drawing,11/05/12
Shaving Cream Painting,11/06/12
Handprint Turkey,11/07/12
Clay,11/08/12
Gelatin Rainbow,11/09/12
Pizza,11/10/12
Water Balloons,11/11/12
Make Kites,11/12/12
Collage,11/13/12
Large Cutout Shape Puzzle,11/14/12
Digging for Treasure,11/15/12
Foot/Hand Prints,11/16/12
Snowflakes,11/17/12
Milk Painting,11/18/12
Magic Goo,11/19/12
Cupcakes,11/20/12
Chalk Painting,11/21/12
Pudding Painting,11/22/12
Egg Painting,11/23/12
Cooking,11/24/12
Make Lemonade,11/25/12
Milk/Cookies,11/26/12
Paper Plates,11/27/12
Create a Town,11/28/12
Hershey's Chocolate,11/29/12
Tie Dye,11/30/12
Pudding Painting,12/01/12
Tacos,12/02/12
Road Work,12/03/12
Unwrapping Presents,12/04/12
Bagel Faces,12/05/12
Treasure Hunt,12/06/12
Butterflies,12/07/12
Shapes Treasure Hunt,12/08/12
Bird's Nest Drawing,12/09/12
Hershey's Chocolate,12/10/12
Mask-making,12/11/12
Make Kites,12/12/12
Collage,12/13/12
Clay,12/14/12
Popsicles,12/15/12
Salt Art,12/16/12
Egg Painting,12/17/12
Music Making,12/18/12
Cooking,12/19/12
Create Animal Environment,12/20/12
Decorate a pumpkin,12/21/12
Stamps,12/22/12
Paper Mache,12/23/12
Spray Painting,12/24/12
Make a Card,12/25/12
Stained Glass,12/26/12
Paper Plates,12/27/12
Obstacle Course,12/28/12
Animal Most Like/Least Like,12/29/12
Farm Animals,12/30/12
White T-Shirts,12/31/12
