Subject,Start Date
Milk/Cookies,01/01/12
Water Balloons,01/02/12
Create a Town,01/03/12
Paper Mache,01/04/12
Snowflakes,01/05/12
Butterflies,01/06/12
Unwrapping Presents,01/07/12
Scratchboards,01/08/12
Gelatin Rainbow,01/09/12
Marble Painting,01/10/12
Puffy Paint Painting,01/11/12
Handprint Turkey,01/12/12
Picture Frames,01/13/12
Wash the Cars,01/14/12
Stained Glass,01/15/12
Salt Art,01/16/12
White Mud,01/17/12
Group Puzzle,01/18/12
Spray Painting,01/19/12
Confetti Collage,01/20/12
Magic Goo,01/21/12
Drawing Round Robin,01/22/12
Shapes Treasure Hunt,01/23/12
Body Trace,01/24/12
Handprint Turkeys,01/25/12
Music Making,01/26/12
Animal Most Like/Least Like,01/27/12
Self-stick paper collage,01/28/12
Sea Animals,01/29/12
Collage,01/30/12
Hershey's Chocolate,01/31/12
Door Drawing,02/01/12
Modeling dough,02/02/12
Pizza,02/03/12
Tissue Paper Collage,02/04/12
Mandala,02/05/12
Book Cover about Yourself,02/06/12
Scratchboards,02/07/12
Sea Animals,02/08/12
Egg Painting,02/09/12
Name Plates,02/10/12
Digging for Treasure,02/11/12
Make Kites,02/12/12
Altered Books,02/13/12
Salt Art,02/14/12
Create your own Placemat,02/15/12
Dream House,02/16/12
Gelatin Rainbow,02/17/12
Music Making,02/18/12
Shapes Treasure Hunt,02/19/12
Paper Plates,02/20/12
Torn Paper Collage,02/21/12
Bird's Nest Drawing,02/22/12
Wash the Cars,02/23/12
Tacos,02/24/12
Desert Island,02/25/12
Foot/Hand Prints,02/26/12
Coffee Filter Art,02/27/12
Popsicles,02/28/12
Decorate a pumpkin,02/29/12
Milk/Cookies,03/01/12
Large Cutout Shape Puzzle,03/02/12
Unwrapping Presents,03/03/12
Shield,03/04/12
Mosaics,03/05/12
Ornaments,03/06/12
Holiday Art,03/07/12
Egg Painting,03/08/12
Self-stick paper collage,03/09/12
Body Trace,03/10/12
Altered Books,03/11/12
Collage,03/12/12
Gelatin Rainbow,03/13/12
Treasure Hunt,03/14/12
Make a Card,03/15/12
Make Kites,03/16/12
Popsicles,03/17/12
Tissue Paper Collage,03/18/12
Finger Paint,03/19/12
Create Animal Environment,03/20/12
Coffee Filter Art,03/21/12
Favorite Kind of Day,03/22/12
Paper Mache,03/23/12
Grow a garden,03/24/12
White Mud,03/25/12
Corn Cob Painting,03/26/12
Tacos,03/27/12
Cupcakes,03/28/12
Confetti Collage,03/29/12
Make Lemonade,03/30/12
Door Drawing,03/31/12
Tasty Paint,04/01/12
Collage,04/02/12
White Mud,04/03/12
CD Cover,04/04/12
Egg Painting,04/05/12
Torn Paper Collage,04/06/12
Farm Animals,04/07/12
Unwrapping Presents,04/08/12
Shapes Treasure Hunt,04/09/12
Pizza,04/10/12
Chalk Painting,04/11/12
Butterflies,04/12/12
Cling Wrap Painting,04/13/12
Treasure Hunt,04/14/12
Mask-making,04/15/12
White T-Shirts,04/16/12
Self-stick paper collage,04/17/12
Coloring,04/18/12
Mosaics,04/19/12
Book Cover about Yourself,04/20/12
Group Puzzle,04/21/12
Grow a garden,04/22/12
Leaf Paintings,04/23/12
Paper Mache,04/24/12
Digging for Treasure,04/25/12
Snowflakes,04/26/12
Body Trace,04/27/12
