Subject,Start Date
Create your own Placemat,01/01/12
Dream House,01/02/12
Salt Art,01/03/12
Name Plates,01/04/12
Leaf Paintings,01/05/12
Pizza,01/06/12
Marble Painting,01/07/12
Shaving Cream Painting,01/08/12
Picture Frames,01/09/12
Milk Painting,01/10/12
Make a Card,01/11/12
Corn Syrup Painting,01/12/12
Kool-Aid Painting,01/13/12
Animal Most Like/Least Like,01/14/12
Paper Plates,01/15/12
Group Puzzle,01/16/12
Corn Cob Painting,01/17/12
Hershey's Chocolate,01/18/12
Coloring,01/19/12
Coloring Sand,01/20/12
Altered Books,01/21/12
Music Making,01/22/12
Make Kites,01/23/12
Milk/Cookies,01/24/12
Scratchboards,01/25/12
Grow a garden,01/26/12
Butterflies,01/27/12
Bread Painting,01/28/12
Leaf Collage,01/29/12
Magic Goo,01/30/12
Snowflakes,01/31/12
Shapes Treasure Hunt,02/01/12
Pizza,02/02/12
Unwrapping Presents,02/03/12
Mandala,02/04/12
White Mud,02/05/12
Picture Frames,02/06/12
Treasure Hunt,02/07/12
Handprint Turkey,02/08/12
Egg Painting,02/09/12
Coffee Filter Art,02/10/12
Finger Paint,02/11/12
Rice Krispy Treats,02/12/12
Tie Dye,02/13/12
Leaf Collage,02/14/12
Hershey's Chocolate,02/15/12
Leaf Paintings,02/16/12
Handprint Turkeys,02/17/12
Ornaments,02/18/12
Body Trace,02/19/12
Milk Painting,02/20/12
Favorite Kind of Day,02/21/12
Name Plates,02/22/12
Picture Frames,02/23/12
Stamps,02/24/12
Grow a garden,02/25/12
Group Puzzle,02/26/12
Stained Glass,02/27/12
Make a Wreath,02/28/12
Desert Island,02/29/12
Bagel Faces,03/01/12
Popsicles,03/02/12
Large Cutout Shape Puzzle,03/03/12
Create Animal Environment,03/04/12
White T-Shirts,03/05/12
Water Balloons,03/06/12
Self-stick paper collage,03/07/12
Leaf Paintings,03/08/12
Cling Wrap Painting,03/09/12
Holiday Art,03/10/12
Paper Mache,03/11/12
Paper Plates,03/12/12
