Subject,Start Date
Torn Paper Collage,01/01/12
Wash the Cars,01/02/12
Create your own Placemat,01/03/12
Treasure Hunt,01/04/12
Shield,01/05/12
Magic Goo,01/06/12
Large Cutout Shape Puzzle,01/07/12
Gelatin Rainbow,01/08/12
White Mud,01/09/12
Stamps,01/10/12
Handprint Turkeys,01/11/12
Cling Wrap Painting,01/12/12
Tissue Paper Puzzle,01/13/12
Name Plates,01/14/12
Confetti Collage,01/15/12
Paper Mache,01/16/12
Finger Paint,01/17/12
Milk/Cookies,01/18/12
Grow a garden,01/19/12
Make a Wreath,01/20/12
Coloring,01/21/12
Clay,01/22/12
Drawing Round Robin,01/23/12
Cupcakes,01/24/12
Paper Plates,01/25/12
Snowflakes,01/26/12
Self-stick paper collage,01/27/12
White T-Shirts,01/28/12
Golf Ball Painting,01/29/12
Paper Plates,01/30/12
Unwrapping Presents,01/31/12
Name Plates,02/01/12
Golf Ball Painting,02/02/12
Bread Painting,02/03/12
Body Trace,02/04/12
Kool-Aid Painting,02/05/12
Drawing Round Robin,02/06/12
Pudding Painting,02/07/12
Sea Animals,02/08/12
Decorate a pumpkin,02/09/12
Picture Frames,02/10/12
Finger Paint,02/11/12
Milk/Cookies,02/12/12
CD Cover,02/13/12
Holiday Art,02/14/12
Make a Wreath,02/15/12
Gelatin Rainbow,02/16/12
Cupcakes,02/17/12
Shaving Cream Painting,02/18/12
Hershey's Chocolate,02/19/12
Make a Card,02/20/12
Create your own Placemat,02/21/12
Bridge,02/22/12
Self-stick paper collage,02/23/12
Make Lemonade,02/24/12
Book Cover about Yourself,02/25/12
Pizza,02/26/12
Mask-making,02/27/12
Paper Mache,02/28/12
Create Animal Environment,02/29/12
Obstacle Course,03/01/12
Picture Frames,03/02/12
Favorite Kind of Day,03/03/12
Name Plates,03/04/12
Rice Krispy Treats,03/05/12
Scratchboards,03/06/12
Tasty Paint,03/07/12
Shadow Tracing/Painting,03/08/12
Ornaments,03/09/12
Torn Paper Collage,03/10/12
Corn Cob Painting,03/11/12
Leaf Collage,03/12/12
Unwrapping Presents,03/13/12
Shapes Treasure Hunt,03/14/12
Finger Paint,03/15/12
Mask-making,03/16/12
Pizza,03/17/12
Altered Books,03/18/12
Cupcakes,03/19/12
Holiday Art,03/20/12
Shaving Cream Painting,03/21/12
Tissue Paper Collage,03/22/12
Magic Goo,03/23/12
Clay,03/24/12
Foot/Hand Prints,03/25/12
Gelatin Rainbow,03/26/12
Music Making,03/27/12
White T-Shirts,03/28/12
Hershey's Chocolate,03/29/12
Water Balloons,03/30/12
Bridge,03/31/12
Tie Dye,04/01/12
Sea Animals,04/02/12
Jewelry Making,04/03/12
Name Plates,04/04/12
Foot/Hand Prints,04/05/12
Spray Painting,04/06/12
Torn Paper Collage,04/07/12
Tacos,04/08/12
Cupcakes,04/09/12
Favorite Kind of Day,04/10/12
Self-stick paper collage,04/11/12
Bird's Nest Drawing,04/12/12
Tissue Paper Collage,04/13/12
Group Puzzle,04/14/12
Coloring Sand,04/15/12
Create Animal Environment,04/16/12
Tasty Paint,04/17/12
Gelatin Rainbow,04/18/12
Handprint Turkeys,04/19/12
Obstacle Course,04/20/12
Egg Painting,04/21/12
Shapes Treasure Hunt,04/22/12
Butterflies,04/23/12
Ornaments,04/24/12
Paper Mache,04/25/12
Animal Most Like/Least Like,04/26/12
Leaf Paintings,04/27/12
Desert Island,04/28/12
Large Cutout Shape Puzzle,04/29/12
Kool-Aid Painting,04/30/12
